name	2016-05-12T00:00:00.000Z	2016-05-13T00:00:00.000Z	2016-05-14T00:00:00.000Z	2016-05-15T00:00:00.000Z	2016-05-16T00:00:00.000Z	2016-05-17T00:00:00.000Z	2016-05-18T00:00:00.000Z	2016-05-19T00:00:00.000Z	2016-05-20T00:00:00.000Z	2016-05-21T00:00:00.000Z	2016-05-22T00:00:00.000Z	2016-05-23T00:00:00.000Z	2016-05-24T00:00:00.000Z	2016-05-25T00:00:00.000Z	2016-05-26T00:00:00.000Z	2016-05-27T00:00:00.000Z	2016-05-28T00:00:00.000Z
CVE-2016-0264	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CVE-2016-0306	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-0323	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-0341	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-0381	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-0390	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-0707	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CVE-2016-0718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-0719	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CVE-2016-0731	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CVE-2016-1206	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-1207	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-1208	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-1209	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CVE-2016-1380	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CVE-2016-1381	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CVE-2016-1382	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CVE-2016-1383	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CVE-2016-1385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CVE-2016-1399	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
