@ScottWarner18 so what I do is I take pictures with the normal iPhone camera and then add from camera roll. Let’s you zoom.;David Yenoki;US
"Texting someone who has an iPhone &amp; they're still using :) faces. Like why don't you use an emoji??? 🤔😐";Tj;US
iPhone  https://t.co/GET6Xhpwjn;Kaysha;US
if anyone finds a cracked white iPhone 5s please let me know and by cracked I mean like super cracked;auzzy;US
I feel like people don't even steal important shit anymore... Y'all be stealing iPhone chargers like they stop selling them.;Vino;US
On my life, it don't matter how many apps, pictures, music, etc. I done deleted off my iPhone... This muthafucka still ain't got no storage!;tt;US
iPhone  https://t.co/3D6ZrnKH4j;han ;GB
TweetDeck Is faster than iPhone Twitter!!;Thabani;ZA
TweetDeck Is faster than iPhone Twitter.;Thabani;ZA
iPhone is back from the dead 👏🏼🙌🏼;Chazz;US
to finally get the iPhone 6s or to go on a trip 🤔🤔;Monique Castro;US
80 years after losing it, I've finally ordered another iPhone charging cable;Triv;US
a few of my favorite things: -flowy white tee shirts  -my iphone camera -liberal politicians -mango smoothies;katie kaschub;US
#Top3Apps for #ZindaHaiBhutto  Twitter for Android 74% Twitter for iPhone 10% Twitter Web Client 8%;Trendinalia Pakistan;PK
My mom said she'll buy my IPhone 😍😍😍😍🙌🙌🙌 #REALMVP;✝;US
Opened Debris on Street/Roadway request via iphone at 9840 DEERFOOT TR SE https://t.co/o6UZsdYnpz. Tree on road.;311Calgary;CA
thank god for this video 😌 https://t.co/fLAa92V6gN;yungrepp;MY
Lol fuck hearthstone. I actually have a life. I wont spend $300 on an iphone game. Whatever. Weed and read.;DropoutBear;US
Does anyone know how to replace iPhone screens?;Courtney;US
iPhone  https://t.co/RFNV5uKZSp;Mochahontas ✨;US
"@itsMarisa2012 Come buy a new iPhone or Samsung Galaxy for the lowest price in town! Mention code ""GG7"", and receive $5 off!";GoGadgets;US
my iphone died, pissed, but its all good ca the brick phones bangin;skankton;GB
Apple Engineers say the FBI's iPhone hack will leak, and they'll fix plug the encryption hole... https://t.co/tT3xwkuh5M via @HuffPostTech;Gary Reiner;US
Yo bout to throw a party cuz Brooke finally got an iPhone gonna go take a shot for that;Sara Allas;US
Someone link me with an iPhone 6;señorita thai;CA
No more new iPhone envy! I finally got around to upgrading! Hello 6s Plus White with Rose Gold 128gb! I'm in love 💗 https://t.co/LGwZ1ez4mT;Bridget Silvestri;US
FBI trick for breaking into iPhone likely to leak, limiting its use https://t.co/Qy4SRXdNRb via @Reuters;Ja Gabri-El;US
"I'm listening to ""Please Mr. Postman-Carpenters"". Let's enjoy music on JOOX! https://t.co/NfeDsKc4gO";บีเทลจุส;TH
You should be able to record front facing camera and back facing camera on the iPhone while video recording. @AppleSupport;Lauren Kay Johnson;US
Opened Litter report via iphone at 61 63 Warren Ave https://t.co/qPmJOVOipv. More broken glass. https://t.co/nQZANWNapb;BOS:311 Reports;US
@TriniCapini Definitely what the iPhone doesn't have! No anti-glare feature!;Coffee & a BookChick;US
This morning was pretty crazy 2 say the least! These iPhone photos dont do the adventure justice. See more on me SC👻 https://t.co/eAZLYGVOeD;Dmitriy Shpak;US
#Top3Apps for #onthefarm  Twitter for iPhone 34% Instagram 20% Twitter Web Client 13%;Trendinalia Ireland;IE
bought me a new iphone charger (a real one)😂thats the only thing that makes me happy;tay❤️;US
#Top3Apps for 'Murat Boz - Janti Albüm'  Twitter for Android 55% Twitter for iPhone 18% Twitter Web Client 14%;Trendinalia TR;TR
Also to eliminate human error, why doesn't the jump have an iPhone with the broadcast if he is iffy on a pitch. Why not get it right??;Alex Delaney;US
The iPhone 6 plus and the 6s plus are the same size, right?;BP.;US
According to my iPhone Twitter feed there's been 4 tweets total overnight. Unusable.;Allison Reynolds;AU
In NC law vs LGBT anti-discrimination ordinances, what's good 4 goose re local control not so 4 gander @frankbruni  https://t.co/tzNmToPUyn;jimrutenberg;US
@MYERone just had a pretty painful experience signing up on the iPhone app, consider providing feedback when actioning eg a form submit. Ta.;Chris Pearce;AU
I need a new iPhone mines got stolen 😴;Ballin⛽️;US
Wow I definitely need a new iPhone charger 🙄🙄🙄;Jake;US
She messaged you on Twitter and texted you till 6 wtf and then you want to get mad because she went to dinner🤔😂  https://t.co/cj2aqemGs3;Katherine Grace.;US
Fun with trains! Coins on rails and iPhone propped up against a sleeper between the tracks. @… https://t.co/yVeleRvvK6;Greg Lawler;US
Opened Homeless Concerns request via iphone at 638 Minna St https://t.co/vECYGqdSvB.;SF311 Reports;US
If you have an iPhone 4 don't put videos on your snapchat story by the time your phone has unfroze and started playing sound it's too late;ed;GB
I'm made to feel bad when I ask for my tea but it's cool to buy my 9 year old sister the newest iPhone😂😂 bunch of creeps honestly;Leigh-Amber;GB
Who wants to buy an iPhone 5;riley;US
Opened Illegal Postings request via iphone at 3812 17th St https://t.co/QRDr2CK2Gp. https://t.co/1sC4TiM1Px;SF311 Reports;US
Is anyone at college library and has an iPhone charger? Asking for a friend;Krisi D;US
Just un boxed my new iPhone SE, but I have another one on the way to my house so I'm selling this one, any bidders? https://t.co/LQP5t6zV1s;Alex Ramos;UY
"Opened Graffiti request via iphone at Intersection of 17th St &amp; Hartford St https://t.co/ypHkiQkYJ8. https://t.co/xq7F9l4Mg9";SF311 Reports;US
Rec's for bluetooth speakers for an iPhone. Don't need to be for running. Just everyday conversation for the office.;Andrew Nauenburg;US
Opened Illegal Postings request via iphone at 600 Irving St https://t.co/Zgn5cSaird. https://t.co/aqKO1hEsrS;SF311 Reports;US
I've been on that 1% iPhone battery for the past 15 mins 😂 Zamn Apple;Kim Geronimo;US
"My trusty iPhone's gotten worse after the update. Shorter batter life &amp; the camera just failed to load. Reboot needed. :(";Jo;JP
#Top3Apps for 'NOW OR NEVER FAM'  Twitter for iPhone 100%  0%  0%;Trendinalia PI;PH
U feeel me😅😫 https://t.co/yOy5EM4bCk;tina;US
#Top3Apps for #CreateAFakeEvent  Twitter for Android 33% Twitter for iPhone 27% Twitter Web Client 18%;Trendinalia PI;PH
The Apple Store  https://t.co/NjYuc2HQ4m;M Ì K E  P R S M;US
the way iPhone emojis look on android phones really bothers me.;sushi's dad;US
I lost my MacBook charger and shattered my iPhone all within 3 days 🙃;Andrew Ramirez;US
I need an iPhone, who got me? 😩;Cruella ✨;US
It's really weird that the iPhone has yellow battery levels now;Chelle;US
@keaton what case do you have for your iPhone 6s Plus?;Richard;US
@rachellybee I suggest an iPhone XD;Cassie Graves;GB
Guess who broke her MacBook and her iPhone 6s in the SAME WEEK??? THIS GIRLLLLLLLLL.   first world problems smh;beezy;US
OKAY BUT HONESTLY  https://t.co/auiFlIp4VE;division bell;US
As my typos and predictive text get worse it is obvious that I need a phone bigger than the iPhone 6 Plus.;Kevin Noon;US
#Top3Apps for #Samuels  Twitter for Android 41% Twitter for iPhone 25% Twitter Web Client 15%;Trendinalia India;IN
iPhone  https://t.co/afzEgx2Hhd;B.;US
Before sunrise Good morning....  #iphone #landscape #travel #bandarlampung #landscape_lovers… https://t.co/gUQfrgorir;Rendra Utama;ID
iPhone  https://t.co/YY7az3ygPD;U N B O T H E R E D✨;US
@52318792aab74aa lol I'm fully capable of navigating an iPhone in the bath without dropping it loooool thanks for the heads up mum 🙋🏽😂❤️;spaghetti queen ♔;GB
"When little kids have a iphone &amp; tell u ""you're lucky u have the newest iPhone"" 😑😑 stfu ur 10 gbye";ɾιккι♛;US
Need a iPhone 4 charger for my iPad;TheBlackestOne;US
"Opened Homeless Concerns request via iphone at Intersection of 17th St &amp; Treat Ave https://t.co/jp5bnaRnq5.";SF311 Reports;US
@_ashlynpaige17_ @Stephennhughes how have you had an iPhone this long and not known that;rachel;US
Thank you iPhone for reminding me every 10 minutes that my storage is running low 🙄;⭐️Em Uh Lee⭐️;US
#WWEnetwork had a long freeze during New #ICChampion so switched to the app on #iphone as it stugles a a bit;Peter Dunn;US
@JKTech_ You already know how The Verge is when it comes to iPhone products.;ScarlettViewPhotos;US
Cheap ass metro iPhone 😂 https://t.co/doOEC57XZ0;LL Cool Slay;US
Team iPhone  https://t.co/90T3heQ4fT;Mary anna;US
iPhone  https://t.co/GhQZPN4sYT;Sarah;FR
@Jromano213 you're not cool bc you have that emoji now that you have an iPhone again 🙄🙄;Karissa Weekley;US
PARTY INVITES HAVE EVOLVED FROM IPHONE NOTES TO FLIPAGRAMS IM CRYING LOL https://t.co/Ma3UDQ9kds;hien;US
Protect your iPhone SE with a HD tempered glass invisible shield from @ZaggVg 📱 https://t.co/uiJhDMcTz7;Victoria Gardens;US
@_BritishFabx girlllll i cant with an iphone! Dem does bruk up too easy and i always dropping shit😢😢😢;I-Nelle;BB
